                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.31968,                0.67456,                0.96893,                 1.7012,              0.0068815,              0.0068815,              0.0068815
                     65,                0.32594,                0.68195,                 0.9645,                 1.7186,               0.006832,               0.006832,               0.006832
                     66,                0.35004,                0.69822,                0.97041,                 1.6893,              0.0067825,              0.0067825,              0.0067825
                     67,                 0.3442,                0.68787,                0.96154,                 1.7122,               0.006733,               0.006733,               0.006733
                     68,                0.32523,                0.72041,                0.97633,                  1.673,              0.0066835,              0.0066835,              0.0066835
                     69,                0.31553,                0.67751,                0.96598,                   1.71,               0.006634,               0.006634,               0.006634
                     70,                0.29706,                0.70118,                0.96598,                 1.6781,              0.0065845,              0.0065845,              0.0065845
                     71,                0.28822,                0.68639,                0.96302,                 1.6971,               0.006535,               0.006535,               0.006535
                     72,                0.28121,                0.71746,                0.95858,                  1.674,              0.0064855,              0.0064855,              0.0064855
                     73,                 0.2869,                0.71154,                 0.9645,                 1.6803,               0.006436,               0.006436,               0.006436
                     74,                0.27192,                0.69083,                0.96746,                 1.6994,              0.0063865,              0.0063865,              0.0063865
                     75,                0.25272,                0.70266,                0.95858,                 1.6821,               0.006337,               0.006337,               0.006337
                     76,                0.27134,                0.70266,                 0.9645,                 1.6787,              0.0062875,              0.0062875,              0.0062875
                     77,                0.23582,                0.72041,                0.96154,                 1.6852,               0.006238,               0.006238,               0.006238
                     78,                0.24863,                0.70858,                0.96746,                 1.6743,              0.0061885,              0.0061885,              0.0061885
                     79,                0.24234,                0.72781,                 0.9645,                 1.6579,               0.006139,               0.006139,               0.006139
                     80,                0.23788,                0.71154,                0.97041,                  1.674,              0.0060895,              0.0060895,              0.0060895
                     81,                0.22243,                0.72633,                0.95858,                 1.6841,                0.00604,                0.00604,                0.00604
                     82,                0.20405,                 0.7071,                0.96893,                 1.6916,              0.0059905,              0.0059905,              0.0059905
                     83,                0.20537,                0.70118,                0.96746,                 1.6663,               0.005941,               0.005941,               0.005941
                     84,                0.19376,                0.69822,                 0.9645,                 1.6924,              0.0058915,              0.0058915,              0.0058915
                     85,                0.18415,                0.71893,                 0.9645,                 1.6685,               0.005842,               0.005842,               0.005842
                     86,                0.21266,                0.72041,                 0.9645,                 1.6694,              0.0057925,              0.0057925,              0.0057925
                     87,                0.18488,                0.70858,                0.96302,                 1.6659,               0.005743,               0.005743,               0.005743
                     88,                0.20301,                0.72485,                0.96302,                 1.6606,              0.0056935,              0.0056935,              0.0056935
                     89,                0.20368,                0.73521,                0.97337,                  1.653,               0.005644,               0.005644,               0.005644
                     90,                0.17709,                0.73225,                0.96598,                 1.6618,              0.0055945,              0.0055945,              0.0055945
                     91,                0.16961,                0.73817,                0.96893,                 1.6532,               0.005545,               0.005545,               0.005545
                     92,                0.16725,                0.73077,                0.97189,                 1.6611,              0.0054955,              0.0054955,              0.0054955
                     93,                0.15757,                0.73669,                0.97189,                 1.6562,               0.005446,               0.005446,               0.005446
                     94,                0.15754,                0.73521,                0.96746,                 1.6504,              0.0053965,              0.0053965,              0.0053965
                     95,                0.16824,                0.72781,                0.96893,                 1.6647,               0.005347,               0.005347,               0.005347
                     96,                 0.1613,                0.72189,                0.96746,                 1.6533,              0.0052975,              0.0052975,              0.0052975
                     97,                0.15708,                0.72485,                0.97485,                 1.6603,               0.005248,               0.005248,               0.005248
                     98,                 0.1365,                0.71154,                0.97337,                 1.6662,              0.0051985,              0.0051985,              0.0051985
                     99,                0.12829,                0.71154,                0.96154,                  1.651,               0.005149,               0.005149,               0.005149
                    100,                0.14699,                0.71598,                0.97041,                 1.6574,              0.0050995,              0.0050995,              0.0050995
                    101,                0.14584,                0.73373,                0.96893,                 1.6434,                0.00505,                0.00505,                0.00505
                    102,                0.13176,                0.73077,                0.97189,                 1.6553,              0.0050005,              0.0050005,              0.0050005
                    103,                0.14213,                0.72929,                0.97189,                  1.653,               0.004951,               0.004951,               0.004951
                    104,                0.13636,                0.72929,                0.97041,                 1.6471,              0.0049015,              0.0049015,              0.0049015
                    105,                0.13331,                0.73817,                0.97633,                 1.6519,               0.004852,               0.004852,               0.004852
                    106,                0.12083,                0.75148,                0.96893,                 1.6501,              0.0048025,              0.0048025,              0.0048025
                    107,                0.11625,                0.73521,                0.96746,                 1.6458,               0.004753,               0.004753,               0.004753
                    108,                 0.1096,                0.74852,                0.96893,                 1.6458,              0.0047035,              0.0047035,              0.0047035
                    109,                  0.108,                 0.7426,                0.97189,                 1.6584,               0.004654,               0.004654,               0.004654
                    110,                0.11521,                0.73077,                0.97337,                 1.6424,              0.0046045,              0.0046045,              0.0046045
                    111,                0.11296,                0.73521,                0.97337,                 1.6517,               0.004555,               0.004555,               0.004555
                    112,                0.09766,                0.73077,                0.96746,                  1.646,              0.0045055,              0.0045055,              0.0045055
                    113,                0.10997,                0.73817,                0.97041,                  1.654,               0.004456,               0.004456,               0.004456
