                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.32488,                0.69675,                 0.9571,                 1.6802,              0.0068815,              0.0068815,              0.0068815
                     65,                0.31455,                0.69675,                0.96893,                 1.6877,               0.006832,               0.006832,               0.006832
                     66,                0.32977,                 0.7071,                0.97337,                 1.6828,              0.0067825,              0.0067825,              0.0067825
                     67,                0.33174,                0.68491,                0.97041,                 1.6994,               0.006733,               0.006733,               0.006733
                     68,                0.30572,                0.69527,                0.96746,                 1.6862,              0.0066835,              0.0066835,              0.0066835
                     69,                 0.3084,                0.70266,                 0.9645,                 1.7144,               0.006634,               0.006634,               0.006634
                     70,                0.27045,                0.68491,                0.96302,                 1.6794,              0.0065845,              0.0065845,              0.0065845
                     71,                0.27062,                 0.7071,                0.96746,                 1.6813,               0.006535,               0.006535,               0.006535
                     72,                0.26444,                0.72485,                0.96006,                 1.6703,              0.0064855,              0.0064855,              0.0064855
                     73,                0.26166,                0.69527,                0.97041,                 1.6763,               0.006436,               0.006436,               0.006436
                     74,                0.25674,                 0.7071,                0.97041,                 1.6842,              0.0063865,              0.0063865,              0.0063865
                     75,                0.26584,                0.70266,                 0.9645,                 1.6873,               0.006337,               0.006337,               0.006337
                     76,                0.26988,                0.66568,                0.97041,                 1.6965,              0.0062875,              0.0062875,              0.0062875
                     77,                 0.2231,                0.70118,                0.96598,                 1.6901,               0.006238,               0.006238,               0.006238
                     78,                0.24218,                 0.7071,                0.96598,                 1.6792,              0.0061885,              0.0061885,              0.0061885
                     79,                0.22577,                0.72041,                0.96893,                 1.6628,               0.006139,               0.006139,               0.006139
                     80,                0.21828,                0.71006,                0.97041,                 1.6781,              0.0060895,              0.0060895,              0.0060895
                     81,                0.21333,                0.71302,                0.96006,                 1.6742,                0.00604,                0.00604,                0.00604
                     82,                0.21021,                0.71302,                0.96893,                 1.6771,              0.0059905,              0.0059905,              0.0059905
                     83,                0.20946,                0.72189,                0.97337,                 1.6737,               0.005941,               0.005941,               0.005941
                     84,                0.18094,                0.72485,                0.97485,                 1.6688,              0.0058915,              0.0058915,              0.0058915
                     85,                0.18727,                0.72041,                0.96598,                 1.6706,               0.005842,               0.005842,               0.005842
                     86,                0.22317,                 0.7071,                0.96598,                 1.6774,              0.0057925,              0.0057925,              0.0057925
                     87,                0.19173,                0.72189,                0.96746,                 1.6649,               0.005743,               0.005743,               0.005743
                     88,                0.18469,                0.72633,                0.97041,                 1.6559,              0.0056935,              0.0056935,              0.0056935
                     89,                 0.1782,                0.71598,                0.96893,                 1.6665,               0.005644,               0.005644,               0.005644
                     90,                0.19204,                0.73965,                0.96746,                 1.6572,              0.0055945,              0.0055945,              0.0055945
                     91,                0.16455,                0.73225,                0.96154,                  1.654,               0.005545,               0.005545,               0.005545
                     92,                0.15824,                0.73817,                0.96746,                 1.6616,              0.0054955,              0.0054955,              0.0054955
                     93,                0.15175,                0.73521,                 0.9645,                 1.6703,               0.005446,               0.005446,               0.005446
                     94,                0.18239,                0.71746,                0.97189,                 1.6519,              0.0053965,              0.0053965,              0.0053965
                     95,                0.17525,                0.72337,                0.96598,                 1.6668,               0.005347,               0.005347,               0.005347
                     96,                0.13413,                0.72781,                0.97337,                 1.6512,              0.0052975,              0.0052975,              0.0052975
                     97,                0.14095,                0.71154,                0.97041,                 1.6665,               0.005248,               0.005248,               0.005248
                     98,                0.13951,                0.74556,                0.96893,                 1.6584,              0.0051985,              0.0051985,              0.0051985
                     99,                0.12993,                0.72633,                0.96893,                 1.6478,               0.005149,               0.005149,               0.005149
                    100,                0.13249,                0.71598,                0.97633,                  1.651,              0.0050995,              0.0050995,              0.0050995
                    101,                0.13823,                0.73077,                0.97041,                  1.647,                0.00505,                0.00505,                0.00505
